active_mode,attempted_capture,backlash,biosphere,boundary_uncertainty,budget_exhausted,command_audit,command_policy,command_support,controller,cooperation_rate,curtailment_factor,defective_rate,effective_audit,effective_capture,effective_mode,effective_policy,effective_support,episode,estimated_cr,estimated_response_steps,evidence_status,institution,irreversible,justice,master_seed,nominal_cost,normal_release_streak,observed_at_step,observed_pressure,observed_trend,pending_due_step,pending_effect_count,pending_mode,pending_transition_count,perceived_improvement,performative_gap,phase,precaution_release_streak,pressure,pressure_before,reason,release_streak,remaining_budget,requested_mode,response_status,scenario,step_cost,t,trigger,true_boundary,trust,unknown_streak
2,0.016518998,0.0,0.540810857,0.24,0,0.96,0.91,0.82,threshold,0.969144105,1.0,0.030855895,0.96,0.003458308,2,0.91,0.82,0,-7.0,7.0,sufficient_evidence,0.415900089,0,0.674189009,101,0.0984,0,39,0.865058528,-0.007226784,,4,,0,0.010478712,0.102348491,evaluation,0,0.868946081,0.869214782,pressure_threshold,0,2.5256,2,available,baseline,0.0984,39,threshold,1.123961594,0.671150332,0
2,0.020925245,0.0,0.536956859,0.24,0,0.96,0.91,0.82,threshold,0.954882141,1.0,0.045117859,0.96,0.004371635,2,0.91,0.82,0,-7.0,7.0,sufficient_evidence,0.417210742,0,0.683611856,101,0.0984,0,40,0.865163841,-0.005027155,,4,,0,0.0,0.125049321,evaluation,0,0.863548163,0.868946081,pressure_threshold,0,2.4272,2,available,baseline,0.0984,40,threshold,1.123961594,0.684644154,0
2,1.137990787,0.0,0.529371941,0.24,0,0.96,0.91,0.82,threshold,0.654520984,1.0,0.345479016,0.96,0.237362207,2,0.91,0.82,0,-7.0,7.0,sufficient_evidence,0.408400466,0,0.68795905,101,0.0984,0,41,0.815574189,-0.018395904,,4,,0,0.049589652,0.058656797,evaluation,0,0.864895436,0.863548163,pressure_threshold,0,2.3288,2,available,baseline,0.0984,41,threshold,1.123961594,0.693531665,0
2,1.251805573,0.0,0.525264502,0.24,0,0.96,0.91,0.82,threshold,0.581221031,1.0,0.418778969,0.96,0.260907713,2,0.91,0.82,0,-7.0,7.0,sufficient_evidence,0.400356699,0,0.694940399,101,0.0984,0,42,0.871962008,0.004039213,,4,,0,0.0,0.16639886,evaluation,0,0.86251713,0.864895436,pressure_threshold,0,2.2304,2,available,baseline,0.0984,42,threshold,1.123961594,0.702678315,0
2,0.16668099,0.0,0.522577992,0.24,0,0.96,0.91,0.82,threshold,0.861491233,1.0,0.138508767,0.96,0.034699102,2,0.91,0.82,0,-7.0,7.0,sufficient_evidence,0.401614472,0,0.705298567,101,0.0984,0,43,0.865870312,0.00099994,,4,,0,0.006091696,0.123278544,evaluation,0,0.855597151,0.86251713,pressure_threshold,0,2.132,2,available,baseline,0.0984,43,threshold,1.123961594,0.716554095,0
2,0,0.0,0.522144688,0.24,0,0.96,0.91,0.82,threshold,1.0,1.0,0.0,0.96,0.0,2,0.91,0.82,0,-7.0,7.0,sufficient_evidence,0.404885487,0,0.716948,101,0.0984,0,44,0.894185963,0.009194654,,4,,0,0.0,0.12,evaluation,0,0.84926283,0.855597151,pressure_threshold,0,2.0336,2,available,baseline,0.0984,44,threshold,1.123961594,0.731630788,0
2,0.003660546,0.0,0.521758386,0.24,0,0.96,0.91,0.82,threshold,0.982305404,1.0,0.017694596,0.96,0.000759188,2,0.91,0.82,0,-7.0,7.0,sufficient_evidence,0.408408088,0,0.728733796,101,0.0984,0,45,0.900253013,0.008256373,,4,,0,0.0,0.122226781,evaluation,0,0.847336223,0.84926283,pressure_threshold,0,1.9352,2,available,baseline,0.0984,45,threshold,1.123961594,0.746765088,0
2,0.036054252,0.0,0.519874782,0.24,0,0.96,0.91,0.82,threshold,0.951341618,1.0,0.048658382,0.96,0.007462606,2,0.91,0.82,0,-7.0,7.0,sufficient_evidence,0.411353572,0,0.73945699,101,0.0984,0,46,0.857387681,-0.007080139,,4,,0,0.042865332,0.040094821,evaluation,0,0.844926224,0.847336223,pressure_threshold,0,1.8368,2,available,baseline,0.0984,46,threshold,1.123961594,0.762118473,0
2,0.036054252,0.0,0.519325802,0.24,0,0.96,0.91,0.82,threshold,0.951341618,1.0,0.048658382,0.96,0.007449049,2,0.91,0.82,0,-7.0,7.0,sufficient_evidence,0.414993914,0,0.751104272,101,0.0984,0,47,0.855007249,-0.005670227,,4,,0,0.002380433,0.121064619,evaluation,0,0.832824128,0.844926224,pressure_threshold,0,1.7384,2,available,baseline,0.0984,47,threshold,1.123961594,0.777116397,0
2,0.109408539,0.0,0.518596273,0.24,0,0.96,0.91,0.82,threshold,0.940962011,1.0,0.059037989,0.96,0.022560018,2,0.91,0.82,0,-1.981935813,7.0,sufficient_evidence,0.418133109,0,0.762323931,101,0.0984,0,48,0.780612659,-0.026287536,51,4,1,1,0.07439459,-0.021969827,evaluation,0,0.821184844,0.832824128,pressure_threshold,0,1.64,1,available,baseline,0.0984,48,threshold,1.123961594,0.793151053,0
