active_emergency_steps,budget_exhausted_steps,controller,effective_emergency_steps,environment_seed,episode,final_active_mode,final_biosphere,final_effective_mode,final_institution,final_justice,final_pressure,final_trust,first_irreversible_step,irreversible_entry,justice_floor_violation,master_seed,max_unknown_streak,min_estimated_cr,min_justice,phase,remaining_budget,requested_emergency_steps,requested_normal_steps,requested_precaution_steps,scenario,total_cost,trigger,true_boundary,unknown_steps
44,9,threshold,32,4437657320329374469,20,2,0.394820934,2,0.004101149,0.776457353,1.144532389,0.799139005,67,1,0,101,0,-13.0,0.523669625,evaluation,0.0,47,20,5,baseline,4.0,threshold,0.986272862,0
44,10,threshold_hysteresis,31,4437657320329374469,20,2,0.405446268,2,0.0,0.769249952,1.131219039,0.789632554,67,1,0,101,0,-13.0,0.532592245,evaluation,0.0,47,19,6,baseline,4.0,threshold_hysteresis,0.986272862,0
39,14,reserve,25,4437657320329374469,20,2,0.489099088,2,0.0,0.688406923,1.070373427,0.721397101,65,1,0,101,0,-6.356306245,0.603868671,evaluation,0.0,42,18,12,baseline,4.0,reserve,0.986272862,0
26,4,threshold,25,7346683513985396097,21,1,0.490103182,1,0.589827273,0.90403706,0.828071543,0.982559755,-1,0,0,101,0,-13.0,0.658276275,evaluation,0.0,26,26,20,baseline,4.0,threshold,0.916810863,0
39,5,threshold_hysteresis,31,7346683513985396097,21,2,0.49269122,2,0.590227609,0.923530582,0.822925171,0.976831012,-1,0,0,101,0,-13.0,0.658276275,evaluation,0.0,42,26,4,baseline,4.0,threshold_hysteresis,0.916810863,0
35,0,reserve,31,7346683513985396097,21,2,0.600677591,2,0.674251827,0.876933904,0.735570907,1.0,-1,0,0,101,0,-11.838397005,0.670100372,evaluation,0.0418,38,34,0,baseline,3.9582,reserve,0.916810863,0
43,8,threshold,32,7245884842312609454,22,2,0.222910956,2,0.166614151,0.732214721,1.73160125,0.817585804,47,1,0,101,0,-13.0,0.575325199,evaluation,0.0,46,21,5,baseline,4.0,threshold,1.009540468,0
44,9,threshold_hysteresis,32,7245884842312609454,22,2,0.26807856,2,0.165828237,0.733211191,1.495185989,0.813165908,58,1,0,101,0,-13.0,0.576089234,evaluation,0.0,47,20,5,baseline,4.0,threshold_hysteresis,1.009540468,0
47,8,reserve,36,7245884842312609454,22,2,0.313140951,2,0.179475036,0.710883355,1.42326341,0.806607075,60,1,0,101,0,-13.0,0.622106898,evaluation,0.0,50,22,0,baseline,4.0,reserve,1.009540468,0
33,7,threshold,29,14543539511629164269,23,2,0.355796313,1,0.535094871,0.981787251,0.970320772,0.946881242,71,1,0,101,0,-12.34730684,0.663358653,evaluation,0.0,36,21,15,baseline,4.0,threshold,0.950163992,0
42,9,threshold_hysteresis,30,14543539511629164269,23,2,0.370087142,2,0.531951652,0.985854755,0.956800934,0.931720728,71,1,0,101,0,-12.34730684,0.663358653,evaluation,0.0,45,20,7,baseline,4.0,threshold_hysteresis,0.950163992,0
25,7,reserve,16,14543539511629164269,23,2,0.418973901,2,0.52440621,0.898238971,0.922778331,0.947282545,-1,0,0,101,0,-8.498649545,0.664117931,evaluation,0.0,28,17,27,baseline,4.0,reserve,0.950163992,0
41,9,threshold,30,6431024146873879286,24,2,0.398956383,2,0.493926097,0.922553655,0.999935221,0.943189425,-1,0,0,101,0,-12.718097472,0.65501774,evaluation,0.0,44,20,8,baseline,4.0,threshold,1.11458492,0
