arm,episode,environment_seed,true_boundary,irreversible_entry,first_irreversible_step,final_pressure,final_biosphere,final_institution,final_trust,final_justice,min_hidden_cr,min_estimated_cr,cumulative_performative_gap,capture_absorption,justice_stability,defective_action_rate,false_positive_rate,false_negative_rate,emergency_trigger_rate,mean_response_delay,mean_estimation_error,final_mode
weak_coupling,12,2737017759123404506,1.0848682998,1,23,3.1243614193,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.3333078437,-14.5833105747,25.0421885779,0.2106626424,0.1940907629,0.7990734913,0.0000000000,0.8472222222,0.0000000000,0.0000000000,5.4771671047,0
nominal_trigger,12,2737017759123404506,1.0848682998,1,25,2.9088834799,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-17.5187706486,-15.6417595077,23.5881244890,0.3948655749,0.0997396874,0.7368379380,0.0000000000,0.0555555556,0.7222222222,7.0000000000,5.5613706995,2
robust_reserve,12,2737017759123404506,1.0848682998,1,37,1.8635642141,0.2470940815,0.0000000000,0.1777069564,0.5450568573,-11.8738408381,-11.8738408381,14.9316712491,0.7072207518,0.4349733085,0.4394215220,0.4583333333,0.0000000000,0.6111111111,4.4545454545,12.8901650097,3
full_rvcim,12,2737017759123404506,1.0848682998,1,53,1.4286084095,0.3780827391,0.0000000000,0.1370543543,0.6853196122,-10.8247851450,-10.8247851450,12.9932915741,0.7776675894,0.5472344623,0.4164911045,0.7361111111,0.0000000000,0.4305555556,3.5000000000,22.3415932581,3
weak_coupling,13,2319224021588573309,1.0056122998,1,29,2.9420240275,0.0000000000,0.0000000000,0.0000000000,0.1155758939,-15.2755601681,-13.6388930072,31.8519201469,0.2171861171,0.3287119620,0.7981417373,0.0000000000,0.8194444444,0.0000000000,0.0000000000,7.1521403628,0
nominal_trigger,13,2319224021588573309,1.0056122998,1,31,2.6828892693,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-15.4771513199,-13.8188851070,29.3695936346,0.4039572765,0.2166986147,0.7218245800,0.0000000000,0.0555555556,0.6944444444,6.5000000000,7.2185849326,2
robust_reserve,13,2319224021588573309,1.0056122998,1,45,1.6216864785,0.3184772321,0.0000000000,0.1307507885,0.6879433524,-11.0705739937,-11.0705739937,17.6612285475,0.7084137221,0.5388000715,0.4545678457,0.6250000000,0.0000000000,0.4027777778,4.1428571429,17.7262372779,3
full_rvcim,13,2319224021588573309,1.0056122998,1,63,1.0439769991,0.4803077255,0.0000000000,0.0664032381,0.8205728477,-9.7562120013,-9.8787159007,13.8360891424,0.7810520540,0.6472648991,0.4060919494,0.8750000000,0.0000000000,0.1944444444,3.3750000000,33.2342374175,2
weak_coupling,14,8813944467716409934,0.9530248499,1,22,2.8643268781,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.7852088809,-14.9867936437,28.6215952423,0.2087849877,0.1755498633,0.6716661951,0.0000000000,0.8611111111,0.0000000000,0.0000000000,9.3582557412,0
nominal_trigger,14,8813944467716409934,0.9530248499,1,24,2.5798690700,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-18.0731432396,-16.1367350354,26.6295614711,0.3797446832,0.1024445767,0.5964609003,0.0000000000,0.0972222222,0.6666666667,7.2500000000,8.4186643822,2
